"stock1","stock2","dead1","dead2"
0,0,16,14
0,0,9,10
138,91,50,30
0,0,10,9
0,0,18,18
0,0,33,31
0,0,33,30
0,0,17,18
0,0,19,20
0,0,40,39
0,0,2,6
0,0,6,5
0,0,16,14
0,0,11,11
92,102,50,50
0,0,7,9
0,0,9,12
250,64,50,50
0,0,3,2
0,0,23,26
0,0,42,41
0,0,16,17
0,0,7,5
0,0,13,9
0,0,13,11
118,129,50,50
0,0,5,6
0,0,7,8
0,0,8,7
0,0,8,8
70,0,50,47
187,84,50,50
66,73,50,50
0,0,6,2
0,0,16,18
0,0,39,39
0,0,12,13
0,0,4,3
106,75,50,41
286,82,50,50
0,0,15,15
0,0,24,24
0,0,2,5
0,0,47,50
0,0,12,5
0,0,6,6
0,0,24,24
0,0,6,9
70,0,50,48
0,0,20,21
0,0,15,14
0,0,4,3
0,0,20,18
0,0,12,7
302,71,50,50
0,0,12,14
122,202,50,50
0,0,18,19
0,0,18,18
0,0,5,4
0,0,15,13
0,0,19,18
0,0,38,38
335,115,50,50
198,71,50,50
0,0,41,41
0,0,13,13
373,85,50,50
0,0,6,6
0,0,41,39
0,0,40,37
128,64,50,50
127,83,50,50
0,0,9,7
0,0,38,38
0,0,2,3
0,0,4,5
0,0,22,26
68,0,50,50
235,136,50,50
0,0,29,30
0,0,21,21
0,0,44,43
0,0,43,42
0,0,25,25
0,0,37,37
0,0,8,9
0,48,49,50
0,0,5,5
131,440,50,50
0,0,12,10
0,0,33,31
0,0,12,14
0,0,48,46
72,67,50,50
189,173,50,50
207,87,50,50
0,0,47,46
0,0,18,19
0,0,24,24
0,64,50,50
0,0,34,35
0,0,13,14
0,0,38,37
70,93,50,23
81,102,50,50
0,0,23,21
0,0,18,17
0,0,5,6
0,0,22,22
0,0,41,39
0,0,16,13
0,0,19,14
0,0,32,30
0,0,2,2
0,0,31,28
65,10,50,47
228,112,50,50
71,0,50,49
204,119,50,50
0,0,12,9
0,0,36,36
0,0,8,6
0,0,4,6
0,0,43,40
0,0,32,31
0,0,12,14
305,109,50,50
0,0,40,38
0,0,43,43
0,0,11,11
0,0,8,8
114,110,50,50
64,0,50,50
0,0,11,4
0,0,14,10
0,0,27,23
0,0,5,5
0,0,25,26
0,0,22,24
0,0,2,6
0,0,24,23
0,0,9,8
0,0,34,33
0,0,4,2
0,0,25,29
0,0,5,9
0,64,50,50
0,0,21,17
